scientificname,longitude,latitude,datecollected,sex,life_stage,weight
Gadus morhua,-61.46,44.57,2013-11-16T00:00:00,U,ADULT,
Gadus morhua,-61.46,44.57,2013-11-16T00:00:00,U,ADULT,
Gadus morhua,-61.46,44.57,2013-11-16T00:00:00,U,ADULT,
Gadus morhua,-61.46,44.57,2013-11-16T00:00:00,U,ADULT,
Gadus morhua,-61.46,44.57,2013-11-16T00:00:00,U,ADULT,
Gadus morhua,-61.46,44.57,2013-11-16T00:00:00,U,ADULT,
Gadus morhua,-61.46,44.57,2013-11-16T00:00:00,U,ADULT,
Gadus morhua,-61.46,44.57,2013-11-16T00:00:00,U,ADULT,
Gadus morhua,-61.46,44.57,2013-11-16T00:00:00,U,ADULT,
Gadus morhua,-61.46,44.57,2013-11-16T00:00:00,U,ADULT,
Gadus morhua,-61.39,44.59,2013-05-16T00:00:00,U,ADULT,
Gadus morhua,-61.39,44.59,2013-05-16T00:00:00,U,ADULT,
Gadus morhua,-61.39,44.59,2013-05-16T00:00:00,U,ADULT,
Gadus morhua,-61.39,44.59,2013-05-16T00:00:00,U,ADULT,
Gadus morhua,-61.593,45.001,2014-05-13T00:00:00,U,,
Gadus morhua,-61.39,44.59,2013-05-16T00:00:00,U,ADULT,
Gadus morhua,-61.39,44.59,2013-05-16T00:00:00,U,ADULT,
Gadus morhua,-60.5,45.18,2013-05-16T00:00:00,U,ADULT,
